,Year,Area,Count
0,1906,Central Africa,0.0
1,1906,Central America,0.0
2,1906,Central Asia,0.0
3,1906,Central Europe,1.0
4,1906,East Asia,0.0
5,1906,Eastern Africa,0.0
6,1906,Eastern Europe,0.0
7,1906,Indian Ocean,0.0
8,1906,North America,0.0
9,1906,Northern Africa,0.0
10,1906,Northern Asia,0.0
11,1906,Northern Europe,0.0
12,1906,Pacific,0.0
13,1906,South America,0.0
14,1906,South Asia,0.0
15,1906,South East Asia,0.0
16,1906,South East Europe,0.0
17,1906,South West Asia,0.0
18,1906,South West Europe,0.0
19,1906,Southern Africa,0.0
20,1906,Southern Europe,0.0
21,1906,West Indies,0.0
22,1906,Western Africa,0.0
23,1906,Western Europe,0.0
24,1916,Central Africa,0.0
25,1916,Central America,0.0
26,1916,Central Asia,0.0
27,1916,Central Europe,1.0
28,1916,East Asia,0.0
29,1916,Eastern Africa,0.0
30,1916,Eastern Europe,0.0
31,1916,Indian Ocean,0.0
32,1916,North America,0.0
33,1916,Northern Africa,0.0
34,1916,Northern Asia,0.0
35,1916,Northern Europe,0.0
36,1916,Pacific,0.0
37,1916,South America,0.0
38,1916,South Asia,0.0
39,1916,South East Asia,0.0
40,1916,South East Europe,0.0
41,1916,South West Asia,0.0
42,1916,South West Europe,0.0
43,1916,Southern Africa,0.0
44,1916,Southern Europe,0.0
45,1916,West Indies,0.0
46,1916,Western Africa,0.0
47,1916,Western Europe,1.0
48,1936,Central Africa,0.0
49,1936,Central America,0.0
50,1936,Central Asia,0.0
51,1936,Central Europe,1.0
52,1936,East Asia,0.0
53,1936,Eastern Africa,0.0
54,1936,Eastern Europe,0.0
55,1936,Indian Ocean,0.0
56,1936,North America,1.0
57,1936,Northern Africa,0.0
58,1936,Northern Asia,0.0
59,1936,Northern Europe,0.0
60,1936,Pacific,0.0
61,1936,South America,0.0
62,1936,South Asia,0.0
63,1936,South East Asia,0.0
64,1936,South East Europe,0.0
65,1936,South West Asia,0.0
66,1936,South West Europe,0.0
67,1936,Southern Africa,0.0
