,Country,count,Code,ISO
0,United States,70654,,
1,Canada,3573,124.0,CAN
2,United Kingdom,2351,,
3,Australia,630,36.0,AUS
4,Mexico,225,484.0,MEX
5,India,225,356.0,IND
6,Germany,135,276.0,DEU
7,Netherlands,116,528.0,NLD
8,New Zealand,99,554.0,NZL
9,South Africa,91,710.0,ZAF
10,Brazil,79,76.0,BRA
11,Spain,75,724.0,ESP
12,France,69,250.0,FRA
13,Philippines,56,608.0,PHL
14,Ireland,55,372.0,IRL
15,Malaysia,53,458.0,MYS
16,Japan,51,392.0,JPN
17,China,50,156.0,CHN
18,Greece,41,300.0,GRC
19,Norway,40,578.0,NOR
20,Belgium,40,56.0,BEL
21,Portugal,38,620.0,PRT
22,Sweden,38,752.0,SWE
23,Israel,33,376.0,ISR
24,Italy,31,380.0,ITA
25,Pakistan,31,586.0,PAK
26,Romania,29,642.0,ROU
27,Finland,27,246.0,FIN
28,Turkey,27,,
29,Venezuela,26,,
30,Iraq,26,368.0,IRQ
31,Croatia,25,191.0,HRV
32,Thailand,24,764.0,THA
33,Cyprus,24,196.0,CYP
34,Argentina,24,32.0,ARG
35,Chile,23,152.0,CHL
36,United Arab Emirates,22,784.0,ARE
37,Singapore,22,702.0,SGP
38,Hungary,21,348.0,HUN
39,Vietnam,20,,
40,"Korea, South",19,,
41,Colombia,17,170.0,COL
42,Poland,17,616.0,POL
43,Denmark,17,208.0,DNK
44,Indonesia,16,360.0,IDN
45,Libya,16,434.0,LBY
46,Bulgaria,15,100.0,BGR
47,Iceland,14,352.0,ISL
48,Costa Rica,14,188.0,CRI
49,Switzerland,13,756.0,CHE
50,Estonia,13,233.0,EST
51,Ecuador,12,218.0,ECU
52,Lithuania,12,440.0,LTU
53,Ukraine,12,804.0,UKR
54,Saudi Arabia,11,682.0,SAU
55,Afghanistan,11,4.0,AFG
56,Bangladesh,11,50.0,BGD
57,Kuwait,11,414.0,KWT
58,Dominican Republic,10,214.0,DOM
59,Jamaica,10,388.0,JAM
60,Egypt,9,818.0,EGY
61,Malta,9,470.0,MLT
62,"Bahamas, The",9,,
63,Guatemala,9,320.0,GTM
64,Slovenia,9,705.0,SVN
65,Bosnia and Herzegovina,8,70.0,BIH
66,Peru,8,604.0,PER
67,Honduras,8,340.0,HND
68,Trinidad and Tobago,8,780.0,TTO
69,Luxembourg,7,442.0,LUX
70,Morocco,7,504.0,MAR
71,Zimbabwe,7,716.0,ZWE
72,Bolivia,6,,
73,Austria,6,40.0,AUT
74,Bermuda,6,60.0,BMU
75,Nigeria,6,566.0,NGA
76,Panama,6,591.0,PAN
77,Russia,6,,
78,Syria,6,,
79,Cuba,5,192.0,CUB
80,Guyana,5,328.0,GUY
81,Barbados,5,52.0,BRB
82,Kenya,5,404.0,KEN
83,Slovakia,5,703.0,SVK
84,Brunei,5,,
85,Namibia,4,516.0,NAM
86,Cayman Islands,4,136.0,CYM
87,Macedonia,4,,
88,Kazakhstan,4,398.0,KAZ
89,British Virgin Islands,4,92.0,VGB
90,Turks and Caicos Islands,4,796.0,TCA
91,Mauritius,4,480.0,MUS
92,Latvia,4,428.0,LVA
93,Ethiopia,4,231.0,ETH
94,Nepal,4,524.0,NPL
95,Belize,3,84.0,BLZ
96,Czech Republic,3,,
97,Mongolia,3,496.0,MNG
98,Armenia,3,51.0,ARM
99,Azerbaijan,3,31.0,AZE
100,Bahrain,3,48.0,BHR
101,Uzbekistan,3,860.0,UZB
102,Lesotho,2,426.0,LSO
103,Zambia,2,894.0,ZMB
104,Gibraltar,2,292.0,GIB
105,Qatar,2,634.0,QAT
106,Uruguay,2,858.0,URY
107,Botswana,2,72.0,BWA
108,Suriname,2,740.0,SUR
109,Senegal,2,686.0,SEN
110,Paraguay,2,600.0,PRY
111,Albania,2,8.0,ALB
112,Faroe Islands,2,234.0,FRO
113,Belarus,2,112.0,BLR
114,Myanmar (Burma),2,,
115,El Salvador,1,222.0,SLV
116,Ghana,1,288.0,GHA
117,Algeria,1,12.0,DZA
118,Tonga,1,776.0,TON
119,Saint Vincent and the Grenadines,1,670.0,VCT
120,Kyrgyzstan,1,417.0,KGZ
121,Cameroon,1,120.0,CMR
122,Uganda,1,800.0,UGA
123,Cape Verde,1,,
124,Solomon Islands,1,90.0,SLB
125,Sao Tome and Principe,1,678.0,STP
126,Tanzania,1,,
127,Papua New Guinea,1,598.0,PNG
128,Zaire (Dem Rep of Congo),1,,
129,Saint Lucia,1,662.0,LCA
130,Georgia,1,268.0,GEO
